    entiteitnummer;haltenummer;omschrijving;omschrijvinglang;gemeentenummer;omschrijvinggemeente;geocoordinaat;haltetoegankelijkheden;hoofdhalte;taal;links;latitude;longitude;locatie
2;251238;Belvedereweg;Gent Belvedereweg;4612;Gent;"{""latitude"": 51.045417, ""longitude"": 3.69624}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251238""}]";51.045417;3.69624;51.045417, 3.69624
2;251269;Zuid perron Zuidstationstraat 2023;Gent Zuid perron Zuidstationstraat 2023;4612;Gent;"{""latitude"": 51.048562, ""longitude"": 3.732}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251269""}]";51.048562;3.732;51.048562, 3.732
2;251273;Terplatenbrug;Gent Terplatenbrug;4612;Gent;"{""latitude"": 51.038829, ""longitude"": 3.731744}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251273""}]";51.038829;3.731744;51.038829, 3.731744
2;251274;Heuvelpoort;Gent Heuvelpoort;4612;Gent;"{""latitude"": 51.038336, ""longitude"": 3.726831}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251274""}]";51.038336;3.726831;51.038336, 3.726831
2;251290;Haardstedestraat;Gent Haardstedestraat;4612;Gent;"{""latitude"": 51.018732, ""longitude"": 3.720438}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251290""}]";51.018732;3.720438;51.018732, 3.720438
2;251363;Heilig Kerst;Gent Heilig Kerst;4612;Gent;"{""latitude"": 51.064132, ""longitude"": 3.729534}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251363""}]";51.064132;3.729534;51.064132, 3.729534
2;251364;Stapelplein;Gent Stapelplein;4612;Gent;"{""latitude"": 51.062494, ""longitude"": 3.734963}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251364""}]";51.062494;3.734963;51.062494, 3.734963
2;251381;UZ Zwijnaardsesteenweg;Gent UZ Zwijnaardsesteenweg;4612;Gent;"{""latitude"": 51.027544, ""longitude"": 3.722152}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251381""}]";51.027544;3.722152;51.027544, 3.722152
2;251419;Evergemsesteenweg;Wondelgem Evergemsesteenweg;4611;Gent;"{""latitude"": 51.0905, ""longitude"": 3.716616}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251419""}]";51.0905;3.716616;51.0905, 3.716616
2;251443;Zalmstraat;Gent Zalmstraat;4612;Gent;"{""latitude"": 51.04849, ""longitude"": 3.742651}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251443""}]";51.04849;3.742651;51.04849, 3.742651
2;251482;Hundelgemsesteenweg;Ledeberg Hundelgemsesteenweg;4621;Gent;"{""latitude"": 51.035337, ""longitude"": 3.738695}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251482""}]";51.035337;3.738695;51.035337, 3.738695
2;251513;Rooigemlaan;Gent Rooigemlaan;4612;Gent;"{""latitude"": 51.064541, ""longitude"": 3.696503}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251513""}]";51.064541;3.696503;51.064541, 3.696503
2;251657;Bollebergen;Zwijnaarde Bollebergen;4624;Gent;"{""latitude"": 51.012859, ""longitude"": 3.705657}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251657""}]";51.012859;3.705657;51.012859, 3.705657
2;252007;Tolhuisbrug;Gent Tolhuisbrug;4612;Gent;"{""latitude"": 51.070375, ""longitude"": 3.726688}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/252007""}]";51.070375;3.726688;51.070375, 3.726688
2;252407;Passagierstraat;Gent Passagierstraat;1378;Gent;"{""latitude"": 51.101123, ""longitude"": 3.730778}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/252407""}]";51.101123;3.730778;51.101123, 3.730778
2;252654;Molenstraat;Wondelgem Molenstraat;4611;Gent;"{""latitude"": 51.086093, ""longitude"": 3.716373}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/252654""}]";51.086093;3.716373;51.086093, 3.716373
2;253141;Westveld;Sint-Amandsberg Westveld;4616;Gent;"{""latitude"": 51.072052, ""longitude"": 3.776675}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/253141""}]";51.072052;3.776675;51.072052, 3.776675
2;253409;Langerbruggebrug;Gent Langerbruggebrug;1378;Gent;"{""latitude"": 51.112127, ""longitude"": 3.74008}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/253409""}]";51.112127;3.74008;51.112127, 3.74008
2;253510;pauwstraat;Gent pauwstraat;4612;Gent;"{""latitude"": 51.073858, ""longitude"": 3.731118}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/253510""}]";51.073858;3.731118;51.073858, 3.731118
2;253574;De Baetsplaats;Sint-Kruis-Winkel De Baetsplaats;4608;Gent;"{""latitude"": 51.156752, ""longitude"": 3.815454}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/253574""}]";51.156752;3.815454;51.156752, 3.815454
2;253649;Sint-Jozefkerk;Gent Sint-Jozefkerk;4612;Gent;"{""latitude"": 51.063867, ""longitude"": 3.709707}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/253649""}]";51.063867;3.709707;51.063867, 3.709707
2;253752;Baarledorp;Drongen Baarledorp;4622;Gent;"{""latitude"": 51.037279, ""longitude"": 3.619075}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/253752""}]";51.037279;3.619075;51.037279, 3.619075
2;253895;Botermarkt;Ledeberg Botermarkt;4621;Gent;"{""latitude"": 51.033651, ""longitude"": 3.740226}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/253895""}]";51.033651;3.740226;51.033651, 3.740226
2;254918;Koning Boudewijnstraat;Gent Koning Boudewijnstraat;4612;Gent;"{""latitude"": 51.037339, ""longitude"": 3.708905}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/254918""}]";51.037339;3.708905;51.037339, 3.708905
2;258715;Heerweg Zuid;Zwijnaarde Heerweg Zuid;4624;Gent;"{""latitude"": 50.989262, ""longitude"": 3.702481}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/258715""}]";50.989262;3.702481;50.989262, 3.702481
2;260051;Yachtdreef;Gent Yachtdreef;4612;Gent;"{""latitude"": 51.045385, ""longitude"": 3.704259}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/260051""}]";51.045385;3.704259;51.045385, 3.704259
2;260405;Pantserschipstraat;Gent Pantserschipstraat;1378;Gent;"{""latitude"": 51.090264, ""longitude"": 3.727146}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/260405""}]";51.090264;3.727146;51.090264, 3.727146
2;260430;Dordrechtstraat;Gent Dordrechtstraat;1378;Gent;"{""latitude"": 51.174411, ""longitude"": 3.790562}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/260430""}]";51.174411;3.790562;51.174411, 3.790562
2;260482;Hundelgemsesteenweg;Ledeberg Hundelgemsesteenweg;4621;Gent;"{""latitude"": 51.034516, ""longitude"": 3.737952}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/260482""}]";51.034516;3.737952;51.034516, 3.737952
2;260533;Malem;Gent Malem;4612;Gent;"{""latitude"": 51.055281, ""longitude"": 3.695901}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/260533""}]";51.055281;3.695901;51.055281, 3.695901
2;260805;Dampoort _ Dok Zuid;Gent Dampoort _ Dok Zuid;4612;Gent;"{""latitude"": 51.057433, ""longitude"": 3.737799}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/260805""}]";51.057433;3.737799;51.057433, 3.737799
2;261050;Benoitlaan;Gentbrugge Benoitlaan;4619;Gent;"{""latitude"": 51.027371, ""longitude"": 3.760054}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/261050""}]";51.027371;3.760054;51.027371, 3.760054
2;261069;Zonnestraat;Gent Zonnestraat;4612;Gent;"{""latitude"": 51.05027, ""longitude"": 3.723125}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/261069""}]";51.05027;3.723125;51.05027, 3.723125
2;261267;Tweebruggenstraat;Gent Tweebruggenstraat;4612;Gent;"{""latitude"": 51.048638, ""longitude"": 3.737237}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/261267""}]";51.048638;3.737237;51.048638, 3.737237
2;261518;Overzet bufferhalte;Gent Overzet bufferhalte;4612;Gent;"{""latitude"": 51.051148, ""longitude"": 3.699249}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/261518""}]";51.051148;3.699249;51.051148, 3.699249
2;262500;Kajuitstraat;Gent Kajuitstraat;4612;Gent;"{""latitude"": 51.072901, ""longitude"": 3.733694}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/262500""}]";51.072901;3.733694;51.072901, 3.733694
2;262529;P+R Oostakker (Oudebareelstraat);Sint-Amandsberg P+R Oostakker (Oudebareelstraat);4616;Gent;"{""latitude"": 51.072259, ""longitude"": 3.773688}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/262529""}]";51.072259;3.773688;51.072259, 3.773688
2;264924;Europalaan;Gent Europalaan;4612;Gent;"{""latitude"": 51.045697, ""longitude"": 3.701218}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/264924""}]";51.045697;3.701218;51.045697, 3.701218
2;270002;Cardijnlaan (terminus);Oostakker Cardijnlaan (terminus);4615;Gent;"{""latitude"": 51.099016, ""longitude"": 3.768348}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/270002""}]";51.099016;3.768348;51.099016, 3.768348
2;270013;Sint-Lievenspoort;Gent Sint-Lievenspoort;4612;Gent;"{""latitude"": 51.039548, ""longitude"": 3.73624}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/270013""}]";51.039548;3.73624;51.039548, 3.73624
2;270078;Hielstraat;Gentbrugge Hielstraat;4619;Gent;"{""latitude"": 51.042393, ""longitude"": 3.759657}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/270078""}]";51.042393;3.759657;51.042393, 3.759657
2;270103;Belvedereweg;Gent Belvedereweg;4612;Gent;"{""latitude"": 51.046814, ""longitude"": 3.695006}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/270103""}]";51.046814;3.695006;51.046814, 3.695006
2;270132;Annie Vande Wielebrug;Gent Annie Vande Wielebrug;4617;Gent;"{""latitude"": 51.049355, ""longitude"": 3.693338}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/270132""}]";51.049355;3.693338;51.049355, 3.693338
2;270232;Watersportlaan;Gent Watersportlaan;1378;Gent;"{""latitude"": 51.048111, ""longitude"": 3.699354}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/270232""}]";51.048111;3.699354;51.048111, 3.699354
2;271204;Krijtestraat;Oostakker Krijtestraat;4615;Gent;"{""latitude"": 51.081874, ""longitude"": 3.772993}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/271204""}]";51.081874;3.772993;51.081874, 3.772993
2;271533;Malem (Rooigemlaan);Gent Malem (Rooigemlaan);4612;Gent;"{""latitude"": 51.056565, ""longitude"": 3.694659}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/271533""}]";51.056565;3.694659;51.056565, 3.694659
2;275924;Europalaan;Gent Europalaan;4612;Gent;"{""latitude"": 51.046278, ""longitude"": 3.698097}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/275924""}]";51.046278;3.698097;51.046278, 3.698097
2;200006;Vroonstallestraat;Wondelgem Vroonstallestraat;229;Wondelgem;"{""latitude"": 51.094324, ""longitude"": 3.70824}";"MOTORISCHE_BEPERKING;VISUELE_BEPERKING";;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200006""}]";51.094324;3.70824;51.094324, 3.70824
2;200011;Kolegemstraat;Wondelgem Kolegemstraat;4611;Gent;"{""latitude"": 51.078675, ""longitude"": 3.705902}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200011""}]";51.078675;3.705902;51.078675, 3.705902
2;200019;Rabot (Begijnhoflaan);Gent Rabot (Begijnhoflaan);4612;Gent;"{""latitude"": 51.059951, ""longitude"": 3.71213}";VISUELE_BEPERKING;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200019""}]";51.059951;3.71213;51.059951, 3.71213
2;200023;Gravensteen (Sint-Veerleplein);Gent Gravensteen (Sint-Veerleplein);4612;Gent;"{""latitude"": 51.056782, ""longitude"": 3.721262}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200023""}]";51.056782;3.721262;51.056782, 3.721262
2;200031;Van Monckhovenstraat;Gent Van Monckhovenstraat;4612;Gent;"{""latitude"": 51.03744, ""longitude"": 3.714308}";"MOTORISCHE_BEPERKING;VISUELE_BEPERKING";;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200031""}]";51.03744;3.714308;51.03744, 3.714308
2;200037;Zwijnaardsesteenweg;Gent Zwijnaardsesteenweg;4612;Gent;"{""latitude"": 51.032619, ""longitude"": 3.722978}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200037""}]";51.032619;3.722978;51.032619, 3.722978
2;200045;Rozebroekstraat;Sint-Amandsberg Rozebroekstraat;4616;Gent;"{""latitude"": 51.060512, ""longitude"": 3.755902}";MOTORISCHE_BEPERKING;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200045""}]";51.060512;3.755902;51.060512, 3.755902
2;200047;Sint-Jacobs perron 7;Gent Sint-Jacobs perron 7;4612;Gent;"{""latitude"": 51.055846, ""longitude"": 3.727422}";"MOTORISCHE_BEPERKING;VISUELE_BEPERKING";;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200047""}]";51.055846;3.727422;51.055846, 3.727422
2;200051;Pêcherstraat;Gentbrugge Pêcherstraat;4619;Gent;"{""latitude"": 51.027697, ""longitude"": 3.768984}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200051""}]";51.027697;3.768984;51.027697, 3.768984
2;200053;Schooldreef;Gentbrugge Schooldreef;4619;Gent;"{""latitude"": 51.031998, ""longitude"": 3.760301}";"MOTORISCHE_BEPERKING;VISUELE_BEPERKING";;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200053""}]";51.031998;3.760301;51.031998, 3.760301
2;200072;Rozemarijnbrug;Gent Rozemarijnbrug;4612;Gent;"{""latitude"": 51.04984, ""longitude"": 3.709623}";MOTORISCHE_BEPERKING;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200072""}]";51.04984;3.709623;51.04984, 3.709623
2;200073;Bernard Spaelaan;Gent Bernard Spaelaan;4612;Gent;"{""latitude"": 51.047883, ""longitude"": 3.709695}";VISUELE_BEPERKING;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200073""}]";51.047883;3.709695;51.047883, 3.709695
2;200098;Duivelsteen;Gent Duivelsteen;4612;Gent;"{""latitude"": 51.051959, ""longitude"": 3.728206}";"MOTORISCHE_BEPERKING;VISUELE_BEPERKING";;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200098""}]";51.051959;3.728206;51.051959, 3.728206
2;200102;Sluizeken;Gent Sluizeken;4612;Gent;"{""latitude"": 51.059931, ""longitude"": 3.724394}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200102""}]";51.059931;3.724394;51.059931, 3.724394
2;200103;Coppinsstraat;Gent Coppinsstraat;4612;Gent;"{""latitude"": 51.062089, ""longitude"": 3.727447}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200103""}]";51.062089;3.727447;51.062089, 3.727447
2;200104;Heilig-Kerst;Gent Heilig-Kerst;4612;Gent;"{""latitude"": 51.063922, ""longitude"": 3.729112}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200104""}]";51.063922;3.729112;51.063922, 3.729112
2;200108;Tolpoort (Neuseplein);Gent Tolpoort (Neuseplein);4612;Gent;"{""latitude"": 51.067246, ""longitude"": 3.726536}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200108""}]";51.067246;3.726536;51.067246, 3.726536
2;200130;Meersemdries;Gentbrugge Meersemdries;4619;Gent;"{""latitude"": 51.040802, ""longitude"": 3.762}";MOTORISCH_MET_ASSIST;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200130""}]";51.040802;3.762;51.040802, 3.762
2;200131;Hielstraat;Gentbrugge Hielstraat;4619;Gent;"{""latitude"": 51.043132, ""longitude"": 3.759329}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200131""}]";51.043132;3.759329;51.043132, 3.759329
2;200144;Sint-Pietersstation perron 20;Gent Sint-Pietersstation perron 20;4612;Gent;"{""latitude"": 51.03601, ""longitude"": 3.712235}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200144""}]";51.03601;3.712235;51.03601, 3.712235
2;200154;Spellewerkstraat;Mariakerke Spellewerkstraat;4614;Gent;"{""latitude"": 51.070454, ""longitude"": 3.681973}";MOTORISCH_MET_ASSIST;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200154""}]";51.070454;3.681973;51.070454, 3.681973
2;200155;Claeysplein;Mariakerke Claeysplein;4614;Gent;"{""latitude"": 51.072491, ""longitude"": 3.680786}";MOTORISCHE_BEPERKING;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/200155""}]";51.072491;3.680786;51.072491, 3.680786
